pno,gender,pori,fors,Half,sdscore,f_r,f_rng,f_nsq,f_rng2,f_tpi,f_runs,f_coupon,f_asc,f_des,f_a,f_rf1,f_rf2,f_rf3,f_rf4,f_rf5,f_rf6,f_rf7,f_rf8,f_rf9,f_rf10,f_fodm9,f_fodm8,f_fodm7,f_fodm6,f_fodm5,f_fodm4,f_fodm3,f_fodm2,f_fodm1,f_fod0,f_fodp1,f_fodp2,f_fodp3,f_fodp4,f_fodp5,f_fodp6,f_fodp7,f_fodp8,f_fodp9,f_rd1,f_rd2,f_rd3,f_rd4,f_rd5,f_rd6,f_rd7,f_rd8,f_rd9,f_rd10,f_rd11,f_rd12,f_rd13,f_rd14,f_rd15,f_rd16,f_rd17,f_rd18,f_rd19,f_rd20,f_rd20pl,f_mnrg,f_medrg,f_morg,f_phi2,f_phi3,f_phi4,f_phi5,f_phi6,s_phi7,sr,srng,snsq,srng2,stpi,sruns,scoupon,sasc,sdes,sa,srf1,srf2,srf3,srf4,srf5,srf6,srf7,srf8,srf9,srf10,sfodm9,sfodm8,sfodm7,sfodm6,sfodm5,sfodm4,sfodm3,sfodm2,sfodm1,sfod0,sfodp1,sfodp2,sfodp3,sfodp4,sfodp5,sfodp6,sfodp7,sfodp8,sfodp9,srd1,srd2,srd3,srd4,srd5,srd6,srd7,srd8,srd9,srd10,srd11,srd12,srd13,srd14,srd15,srd16,srd17,srd18,srd19,srd20,srd20pl,smnrg,smedrg,smorg,sphi2,sphi3,sphi4,sphi5,sphi6,sphi7,in,ir,irng,insq,irng2,itpi,iruns,icoupon,iasc,ides,ia,irf1,irf2,irf3,irf4,irf5,irf6,irf7,irf8,irf9,irf10,ifodm9,ifodm8,ifodm7,ifodm6,ifodm5,ifodm4,ifodm3,ifodm2,ifodm1,ifod0,ifodp1,ifodp2,ifodp3,ifodp4,ifodp5,ifodp6,ifodp7,ifodp8,ifodp9,ird1,ird2,ird3,ird4,ird5,ird6,ird7,ird8,ird9,ird10,ird11,ird12,ird13,ird14,ird15,ird16,ird17,ird18,ird19,ird20,ird20pl,imnrg,imedrg,imorg,iphi2,iphi3,iphi4,iphi5,iphi6,iphi7,H1R,H1RNG,H1NSQ,H1RNG2,H1TPH1,H1RUNS,H1COUPON,H1ASC,H1DES,H1A,H1RF1,H1RF2,H1RF3,H1RF4,H1RF5,H1RF6,H1RF7,H1RF8,H1RF9,H1RF10,H1FODM9,H1FODM8,H1FODM7,H1FODM6,H1FODM5,H1FODM4,H1FODM3,H1FODM2,H1FODM1,H1FOD0,H1FODP1,H1FODP2,H1FODP3,H1FODP4,H1FODP5,H1FODP6,H1FODP7,H1FODP8,H1FODP9,H1RD1,H1RD2,H1RD3,H1RD4,H1RD5,H1RD6,H1RD7,H1RD8,H1RD9,H1RD10,H1RD11,H1RD12,H1RD13,H1RD14,H1RD15,H1RD16,H1RD17,H1RD18,H1RD19,H1RD20,H1RD20PL,H1MNRG,H1MEDRG,H1MORG,H1PHH12,H1PHH13,H1PHH14,H1PHH15,H1PHH16,H1PHH17,solorep
    2.00,1,2,2,1,12,1.1664,.2705,39.3939,.2679,87.2449,1.0588,26.33,10,12,22,6,13,11,10,8,12,13,8,11,8,1,1,3,4,4,5,9,12,12,0,10,14,5,8,4,3,1,1,3,0,1,1,7,13,12,9,9,4,8,3,2,4,3,1,1,4,2,1,0,5,9.49,8,5,-3.787218,-3.844913,-4.321584,-2.783629,-.488445,-.209453,.2135,.2727,40.404,.2562,107.1429,.68,14.83,7,4,11,10,9,12,9,10,11,9,10,11,9,0,3,6,3,5,10,11,7,4,0,7,9,11,4,6,8,3,0,3,0,0,0,2,8,8,6,17,11,9,6,6,1,8,4,1,1,0,1,0,1,9.67,9,8,-3.632915,-4.015107,-4.539797,-4.476729,-2.891262,-2.938124,100,1.8946,.2615,39.3939,.2682,91.8367,1.0417,22,12,10,22,8,11,8,13,7,13,14,7,13,6,0,4,1,3,8,9,4,9,10,0,12,11,6,10,4,5,2,1,1,0,1,8,8,12,10,8,3,4,5,10,2,1,2,4,2,3,2,1,0,4,9.27,7,5,-3.912326,-4.038304,-2.090552,-2.052681,-.325574,-.239703,1.3214,.2222,34.3434,.211,93.3673,1.0833,17.8,13,12,25,9,12,11,15,7,12,11,8,8,7,1,1,4,4,3,5,6,10,12,2,13,10,11,7,6,5,0,0,0,2,1,6,5,7,3,12,6,10,8,3,3,4,6,1,1,3,1,6,1,1,9.56,9,7,-3.109288,-3.843952,-2.395913,-2.779403,-2.130584,-3.700244,0
    3.00,1,2,2,2,12,.685,.2587,39.3939,.2243,78.0612,.4915,17.2,13,18,31,11,8,11,10,10,7,10,14,10,9,2,0,1,3,1,1,4,17,18,12,13,12,4,5,1,2,2,2,0,12,5,2,3,6,3,3,6,4,7,7,3,6,11,2,1,2,1,2,1,3,9.47,10,1,.664892,-2.025103,-2.510538,-2.445229,-1.594183,-2.891115,.8177,.2322,36.3636,.2203,82.6531,1,22.75,10,10,20,13,8,13,9,10,9,12,10,9,7,2,2,1,0,2,6,9,13,10,8,10,15,8,4,5,3,1,1,0,8,6,3,5,5,8,6,4,7,11,3,3,3,3,1,4,0,2,2,2,4,9.54,8.5,10,-.841438,-1.875068,-2.534727,-2.10859,-2.241547,-.999489,100,2.2473,.218,33.3333,.2239,99.4898,.7059,27.67,13,11,24,11,11,14,12,9,12,7,10,3,11,1,1,2,6,8,5,5,10,11,2,13,7,7,6,6,4,3,1,2,2,5,5,8,6,8,10,5,9,6,4,4,4,2,3,1,1,1,1,1,4,9.2,8,7,-3.197648,-2.48852,-2.549048,-1.935754,-2.357126,-1.882316,.3377,.2431,37.3737,.2747,91.8367,.9796,19.2,13,13,26,10,10,11,10,9,13,10,9,8,10,1,2,2,7,5,5,8,4,13,2,13,8,10,6,6,2,4,0,2,2,1,4,1,10,8,4,10,9,8,7,6,3,4,3,1,5,1,0,0,3,9.66,9,-5,-2.94018,-3.581938,-2.813942,-4.196297,-1.51423,-1.896036,20
    5.00,1,1,2,1,10,.4642,.2855,40.404,.2698,87.2449,1.0185,19,11,18,29,12,9,9,9,9,10,10,8,11,13,2,3,1,3,4,4,6,12,18,1,11,13,7,3,0,4,1,1,6,1,3,2,8,8,7,10,4,10,7,3,5,5,3,1,3,0,2,0,5,3,9.6,9,-7,-3.320314,-2.925489,-3.472047,-1.430084,-1.496399,-2.077009,.6875,.264,40.404,.2684,111.7347,.5714,16.67,8,8,16,12,9,11,13,8,10,8,9,8,12,2,4,4,6,7,4,8,5,8,1,8,7,8,7,8,3,6,3,1,1,5,0,8,4,5,12,6,6,10,3,8,3,4,2,3,0,1,4,1,4,9.88,9,7,-3.357048,-2.291543,-4.085499,-1.966977,-3.188512,-3.121011,100,1.7915,.2629,39.3939,.2288,93.3673,.96,22.75,13,9,22,11,7,12,8,6,9,15,7,13,12,3,2,4,6,3,2,7,12,9,1,13,9,5,6,6,6,2,2,2,1,6,6,12,9,6,6,5,6,5,3,3,2,2,2,1,4,2,2,0,7,9.6,7,4,-3.540972,-2.188168,-2.090145,-.214332,.215735,-1.397235,1.1451,.2266,33.3333,.2345,104.0816,.8571,18.6,11,8,19,11,12,12,6,13,7,11,8,11,9,1,2,5,2,5,10,7,6,8,2,11,13,7,6,2,8,3,1,1,2,1,3,6,6,4,11,10,10,9,5,5,2,6,1,0,2,0,3,0,4,9.82,9,7,-3.065145,-3.783548,-3.520457,-2.903231,-2.84466,-3.833915,2
    6.00,1,1,2,2,9,1.1181,.3229,44.4444,.2576,84.1837,1.4894,17.8,16,16,32,11,6,12,9,13,8,8,13,11,9,0,5,0,3,4,5,4,8,16,2,16,16,9,6,0,2,2,1,1,2,3,2,8,6,8,4,10,12,10,3,3,2,0,3,0,4,3,1,1,5,9.62,9,9,-3.065142,-3.06367,-3.664871,-1.954426,-2.351553,-1.844433,.8708,.2817,41.4141,.2105,101.0204,.9149,16.5,11,12,23,10,11,12,7,14,9,10,10,7,10,3,1,5,4,4,2,8,8,12,0,11,9,9,14,4,1,4,1,0,0,1,2,6,3,7,15,11,6,9,5,5,8,2,2,0,1,3,0,0,4,9.79,8.5,7,-3.743098,-3.82813,-3.997561,-3.114569,-4.253967,-3.610635,100,1.3878,.3007,44.4444,.2399,81.1225,1.8372,21.25,20,12,32,11,12,12,8,16,7,8,9,9,8,3,1,2,2,6,6,5,4,12,1,20,14,8,8,4,2,2,0,0,1,5,5,7,11,11,6,5,5,4,6,6,2,2,2,2,2,0,0,1,7,9.4,7,-5,-3.489429,-2.55668,-2.419039,-2.078997,-.293038,.001466,.5831,.2388,36.3636,.299,101.0204,.6415,21.25,8,15,23,11,7,12,10,9,9,12,8,11,11,1,5,3,3,3,6,5,8,15,3,8,8,12,7,4,2,5,0,2,3,1,3,5,7,6,11,8,14,7,7,3,3,0,3,0,1,1,0,0,7,9.44,9,9,-2.617393,-3.650367,-3.249057,-2.788265,-2.267649,-2.842828,2
    7.00,1,2,1,1,16,.8579,.2344,36.3636,.2407,108.6735,.6,15.8,10,7,17,11,9,8,11,8,11,15,8,10,9,2,1,2,4,6,5,11,12,7,0,10,11,9,5,4,5,1,3,2,0,1,7,5,6,7,9,12,5,5,3,5,8,3,3,1,3,0,0,4,3,9.6,8,8,-3.750455,-3.81367,-2.055524,-2.680412,-2.013443,-2.459816,.9409,.2566,39.3939,.2319,110.2041,.6667,15.33,6,5,11,9,8,15,11,8,11,12,8,9,9,1,3,5,6,1,8,13,6,5,0,6,9,11,7,10,2,6,1,0,0,3,6,6,9,4,7,5,3,5,7,9,8,4,3,3,3,3,0,0,2,9.71,10,-5,-3.765154,-3.145236,-2.351249,-2.440068,-1.253196,-2.875625,100,3.4519,.2684,40.404,.2728,108.6735,.64,19.67,10,7,17,10,16,14,7,5,8,10,4,15,11,0,2,8,8,7,7,5,3,7,2,10,5,5,11,5,6,3,4,2,2,5,7,10,7,8,8,9,5,3,4,2,3,4,1,1,3,0,0,0,8,9.06,7,4,-3.441092,-2.741912,-2.266529,-1.496756,-1.758312,-1.256537,2.6012,.2835,41.4141,.3075,99.4898,1.25,22.25,7,8,15,11,13,9,15,8,5,12,5,14,8,4,5,4,5,5,1,4,7,8,1,7,15,11,7,6,5,2,2,1,1,4,6,3,10,5,6,13,9,6,4,6,2,4,0,3,0,1,2,0,5,9.26,8,8,-3.658884,-3.042321,-2.480575,-3.457881,-1.420484,-3.075134,0
    8.00,2,2,1,2,5,5.373,.3997,54.5455,.3437,65.8163,2.0408,0,20,19,39,13,10,9,14,11,7,11,13,12,0,0,2,0,2,8,3,3,11,19,0,20,13,8,2,4,3,2,0,0,0,2,3,7,8,16,14,3,8,4,6,7,3,1,1,3,1,2,0,0,2,8.84,7,6,-4.148306,-3.943279,-4.186115,-3.418414,-3.033697,-.017324,5.6473,.2737,42.4242,.2942,99.4898,.6852,0,8,10,18,11,10,10,14,6,12,13,10,14,0,0,0,2,5,9,8,7,11,10,2,8,8,6,10,1,6,5,2,0,1,0,4,5,12,11,8,10,9,8,6,5,2,3,1,0,3,0,0,1,2,8.56,8,5,-3.836046,-4.670946,-3.906174,-3.703531,-1.718372,-1.478527,100,4.7165,.3116,45.4545,.2851,93.3673,.717,31.33,10,10,20,14,7,6,19,13,3,14,7,10,7,0,1,1,7,3,10,9,5,10,7,10,9,11,2,5,6,3,1,0,7,5,9,13,9,7,8,4,4,0,4,3,3,0,1,1,0,1,0,1,10,9.07,6,4,-1.858266,-3.421546,-1.468508,.042898,-.599229,-.894608,1.1352,.2456,38.3838,.1995,104.0816,.68,32.67,8,4,12,13,10,11,11,10,6,12,6,11,10,1,5,2,5,6,5,9,10,4,3,8,9,12,2,6,3,6,2,2,3,4,4,5,6,9,15,9,6,6,1,3,4,1,1,2,2,3,2,0,4,9.39,7,7,-2.698261,-2.654182,-2.657152,-2.873086,-2.193601,-1.380233,1
    9.00,2,2,2,1,16,4.2759,.2904,41.4141,.2671,90.3061,.68,49.5,18,11,29,13,16,8,8,10,11,5,14,13,2,1,2,3,7,2,6,3,6,11,8,18,10,2,8,6,1,6,0,0,8,10,11,5,8,8,3,6,3,2,3,2,1,2,1,1,1,3,1,2,9,9.04,6,3,-1.320914,-.350501,-.156487,-2.563956,-.007273,.833337,2.3945,.314,44.4444,.239,73.4694,1.7234,22.25,21,12,33,16,13,9,5,9,10,10,13,5,10,4,1,4,2,4,1,4,4,12,10,21,9,6,9,7,2,0,0,0,10,3,6,5,8,9,4,2,7,7,5,1,1,6,0,1,1,3,3,2,6,9.54,7.5,1,-.353015,-1.762656,-1.793617,-2.178124,-1.185029,.154121,100,3.0793,.3166,45.4545,.2552,85.7143,1.4773,37,14,4,18,17,9,4,8,6,12,15,11,10,8,3,3,2,7,1,8,5,8,4,3,14,14,6,5,9,5,1,1,1,3,5,10,9,13,8,4,10,7,2,2,3,0,2,0,1,0,2,0,2,7,8.57,6,5,-3.037306,-2.768466,-.976495,-1.208793,.050155,-.511936,.7419,.2432,36.3636,.3015,102.551,.8519,18.8,11,11,22,8,13,9,9,11,12,12,10,9,7,1,3,2,4,2,7,9,14,11,0,11,5,6,9,6,4,2,4,0,0,2,3,13,1,3,11,7,12,10,6,4,0,5,2,2,1,3,1,1,3,9.71,9,4,-3.721057,-3.422655,-3.401616,-.079668,-3.714279,-3.932672,18
   10.00,1,2,2,2,18,.7346,.2668,39.3939,.2272,96.4286,1.0435,14.33,11,7,18,11,13,8,9,7,9,10,10,13,10,2,6,6,3,2,5,4,10,7,0,11,14,5,10,2,6,4,0,3,0,1,2,3,4,13,9,4,12,8,10,7,5,3,1,2,3,1,2,0,0,9.51,9,6,-3.721052,-3.768415,-3.859994,-4.060245,-4.090289,-1.225399,1.1447,.2374,36.3636,.2467,102.551,.6364,43,8,13,21,8,12,12,13,10,9,10,11,10,5,0,2,5,3,5,8,6,12,13,0,8,9,4,7,5,7,3,0,3,0,1,4,9,11,14,9,10,4,2,2,5,3,7,3,0,0,2,0,0,4,9.09,7,6,-3.772513,-3.842378,-3.228381,-1.755516,-.882683,.435973,100,4.9985,.3193,45.4545,.2807,102.551,.7636,32.5,10,10,20,2,18,12,8,16,10,12,10,7,5,0,0,2,4,4,9,11,10,10,4,10,5,10,6,11,1,2,1,0,4,12,4,9,9,8,7,5,4,1,3,2,1,1,5,1,3,5,0,1,5,9.1,6,2,-2.935253,-.294671,-2.853728,-1.372504,-.600838,.421823,1.7781,.2688,39.3939,.2486,96.4286,1.1429,17.4,14,11,25,11,14,7,7,11,10,15,11,8,6,1,1,2,3,6,8,6,11,11,0,14,9,6,11,4,3,2,2,0,0,5,3,4,10,11,8,9,6,5,4,6,1,3,1,3,2,3,0,0,6,9.46,8,6,-3.897593,-2.569013,-3.465328,-3.485087,-1.715303,-1.380233,0
   14.00,1,2,2,1,8,1.3191,.2927,41.4141,.2376,102.551,.8043,17,11,5,16,14,11,8,8,9,13,8,6,11,12,5,4,0,5,3,9,4,10,5,1,11,8,8,10,6,7,2,0,2,1,2,5,5,9,11,9,6,7,7,5,4,3,2,2,3,3,2,0,1,3,9.07,8,6,-3.460001,-3.493923,-2.773311,-3.08759,-1.371728,-1.045258,1.7641,.2759,41.4141,.2518,107.1429,.72,18.6,3,5,8,17,10,11,9,7,8,11,9,6,12,1,2,8,6,7,6,7,6,5,2,3,8,13,6,4,4,8,4,0,2,4,5,5,11,7,5,5,6,9,5,5,3,2,3,2,2,1,1,1,6,9.52,9,5,-3.197646,-2.81576,-2.604728,-2.709256,-.68754,-1.477016,100,3.6844,.2977,44.4444,.2636,113.2653,.6275,28,7,7,14,19,13,10,11,6,8,9,9,3,12,3,2,6,7,7,5,4,8,7,2,7,6,10,5,2,6,6,3,4,2,5,8,8,7,11,7,4,7,3,5,7,0,5,2,0,2,0,0,2,5,9,7,6,-3.49282,-3.000215,-2.073195,-1.789964,-2.405834,-.384072,.5,.276,39.3939,.2262,99.4898,.717,17.8,7,6,13,11,8,11,12,11,11,10,7,10,9,0,4,3,2,2,11,12,12,6,1,7,9,5,10,4,4,5,1,2,1,1,2,6,6,6,9,10,7,8,4,10,5,3,3,0,1,2,1,2,3,9.87,9,-8,-3.320312,-3.662268,-3.656561,-2.628331,-2.766314,-3.019071,3
   15.00,1,2,2,2,20,.7145,.2811,41.4141,.2183,97.9592,.8519,16.67,7,13,20,7,9,10,8,12,11,12,8,12,11,1,2,0,5,7,4,9,13,13,0,7,11,7,8,3,3,3,0,4,0,0,2,3,8,4,12,10,13,8,3,2,9,4,3,2,1,0,3,0,3,9.96,9,9,-3.713709,-4.162261,-4.027287,-4.12488,-2.8456,-4.316451,.7902,.2629,40.404,.2203,101.0204,.766,15.83,5,4,9,8,11,10,8,12,13,7,12,9,10,2,4,1,3,8,10,7,8,4,0,5,12,10,8,7,8,2,1,0,0,0,1,7,5,9,15,7,5,10,9,5,0,4,4,1,0,1,1,2,4,9.82,9,7,-3.728403,-4.177212,-4.394164,-2.789437,-3.611256,-2.523215,100,3.693,.2904,44.4444,.249,104.0816,.76,24.33,16,9,25,3,5,9,11,16,12,12,7,15,10,0,0,0,4,7,8,13,9,9,0,16,10,6,3,5,5,4,1,0,0,2,9,12,10,14,5,5,5,2,3,1,0,1,5,1,1,2,1,1,10,9.39,6,6,-4.163066,-4.018281,-2.016536,-.646123,-.670863,.814971,.473,.2578,39.3939,.2196,97.9592,.8,17.6,11,6,17,11,10,8,10,11,9,11,9,8,13,3,4,3,0,5,9,9,8,6,2,11,10,5,7,6,6,1,2,3,2,1,7,1,10,9,4,8,6,8,4,8,5,2,2,4,1,2,1,1,4,9.79,9,5,-2.962222,-3.638356,-1.742229,-3.933642,-1.167561,-.975006,0
   17.00,1,1,2,1,15,1.4636,.3078,44.4444,.2567,91.8367,.9636,16.33,7,17,24,9,8,16,8,7,12,9,8,13,10,1,2,5,2,4,5,4,11,17,3,7,10,11,4,5,2,6,1,0,3,2,4,6,3,7,8,13,6,9,5,3,2,5,0,1,2,1,2,4,4,9.72,8,8,-2.786583,-3.497646,-2.975594,-2.730058,-3.702774,-3.163148,1.5696,.2765,40.404,.2305,104.0816,.7692,20.25,8,9,17,11,7,15,10,8,10,7,7,14,11,4,0,2,7,6,3,9,10,9,2,8,6,9,7,4,7,3,4,0,2,4,8,3,5,9,6,9,5,5,9,3,5,3,3,1,3,1,2,0,4,9.37,8,-6,-3.153458,-2.758669,-1.3595,-3.40044,-1.952036,-1.45754,100,4.2123,.2905,44.4444,.2752,79.5918,1.3276,43,5,15,20,10,6,18,7,6,13,12,3,11,14,3,1,2,1,4,5,11,12,15,3,5,11,9,5,2,1,5,3,2,3,3,6,11,9,15,9,2,2,6,3,2,3,2,2,2,0,1,1,0,8,8.94,6,6,-3.199929,-3.638275,-3.060726,-1.491493,-.849864,1.627484,.9144,.2391,36.3636,.2499,94.898,1.0962,15.83,7,9,16,10,7,11,9,9,10,11,7,14,12,2,1,2,3,9,8,5,8,9,4,7,16,7,1,7,5,2,4,0,4,2,2,2,7,1,13,11,7,6,3,14,2,4,0,1,4,1,1,2,3,9.74,9,12,-2.315209,-3.267969,-3.414747,-3.672828,-2.213884,-4.319268,5
   18.00,1,1,2,2,7,.7024,.3173,46.4646,.2146,96.4286,1.1837,20.5,12,11,23,7,12,11,11,8,11,9,13,9,9,2,3,4,4,0,4,6,12,11,2,12,14,5,10,2,6,2,1,0,2,1,4,6,7,7,7,11,7,8,4,7,3,2,4,0,0,2,1,1,6,9.78,8.5,8,-2.998966,-3.706661,-2.976806,-2.392272,-2.081486,-2.100046,.8535,.2276,34.3434,.2369,99.4898,.7407,16.2,5,11,16,8,7,11,10,13,10,12,11,7,11,1,0,5,2,6,6,10,11,11,2,5,11,10,4,7,3,3,1,2,2,7,4,3,8,8,6,4,5,8,6,4,4,3,4,5,1,4,0,1,3,9.52,9,-5,-3.021017,-1.504766,-2.500476,-3.401312,-1.154375,-1.613664,100,1.8336,.2975,42.4242,.2561,104.0816,.6667,21.5,5,13,18,10,7,6,14,12,6,10,14,12,9,2,0,3,7,4,5,5,9,13,3,5,12,14,9,3,1,2,2,1,3,4,6,6,6,11,9,8,6,5,2,4,2,2,2,1,2,1,3,1,6,9.31,7.5,6,-2.823407,-2.872459,-2.169322,-2.502285,-2.400761,-.055707,.7755,.2402,35.3535,.2334,102.551,.8333,17.6,12,9,21,10,6,13,12,9,9,11,10,9,11,0,1,2,7,4,7,10,10,9,3,12,11,3,6,3,4,2,3,3,3,3,5,3,7,8,6,3,9,7,8,5,5,1,3,3,3,1,2,2,3,9.76,9,9,-2.646791,-2.976358,-2.471228,-3.123956,-2.018664,-1.911092,4
