Index,N1a,N2a,N3a,N4a,N5a,N6a,N7a,N8a,N9a,N10a,N11a,N12a,N13a,N14a,N15a,N16a,N17a,N1b,N2b,N3b,N4b,N5b,N6b,N7b,N8b,N9b,N10b,N11b,N12b,N13b,N14b,N15b,N16b,N17b,Type,Condition
1,3,2,2,1,6,8,5,6,4,5,8,7,2,5,7,1,1,3,4,3,2,1,9,6,1,1,7,5,2,5,3,3,8,3,Slow,Neglect
2,7,8,5,7,8,3,2,1,10,2,5,3,8,8,3,7,4,9,1,7,5,9,6,9,8,10,7,9,8,1,1,7,2,1,Slow,Neglect
3,5,3,6,6,3,4,9,4,5,9,4,6,6,3,10,8,9,10,10,10,8,7,2,1,3,3,10,6,5,9,5,1,5,5,Slow,Neglect
4,8,10,8,5,4,10,4,8,3,10,2,9,7,10,8,4,7,1,6,1,10,6,10,10,7,7,1,3,7,6,6,1,10,4,Slow,Neglect
5,9,5,3,3,5,10,10,9,7,7,7,1,5,7,5,3,10,5,7,2,9,8,1,2,4,2,9,1,4,8,4,9,1,2,Slow,Neglect
6,1,9,1,2,1,1,7,7,8,2,1,4,1,2,9,2,6,6,2,4,7,3,3,4,6,5,8,4,1,10,2,2,3,7,Slow,Neglect
7,10,2,4,9,10,6,1,2,2,4,9,10,10,4,2,10,3,2,5,5,3,4,5,7,2,9,5,7,9,2,9,5,6,8,Slow,Neglect
8,4,6,8,10,7,9,8,10,1,1,3,6,7,9,1,6,8,8,8,9,1,5,7,3,9,4,6,8,3,4,8,4,7,9,Slow,Neglect
9,6,7,10,6,2,2,9,5,9,8,8,2,2,6,4,9,2,4,3,6,4,2,8,1,10,7,4,2,6,7,10,1,9,10,Slow,Neglect
10,2,9,5,1,9,4,3,3,2,3,5,8,5,1,5,3,4,7,9,8,5,7,2,7,5,6,3,10,10,3,2,4,10,6,Slow,Neglect
11,8,3,9,10,3,1,2,9,5,7,9,5,9,8,7,5,10,10,1,5,9,10,4,10,7,1,10,1,8,1,7,3,5,4,Slow,Neglect
12,7,6,3,8,1,5,5,2,4,10,4,1,3,6,9,6,7,3,4,9,10,4,5,8,4,10,2,9,4,9,3,9,1,3,Slow,Neglect
13,5,1,6,5,8,8,6,5,3,6,2,3,2,3,8,7,5,2,2,10,8,2,9,2,9,7,9,6,9,5,1,2,3,5,Slow,Neglect
14,1,5,7,3,5,3,7,1,6,7,7,7,8,9,2,1,6,8,9,1,6,8,1,6,8,8,1,3,5,10,1,10,2,4,Slow,Neglect
15,4,4,10,4,7,9,10,3,8,8,6,9,5,4,10,2,1,10,8,2,4,9,3,4,3,3,8,4,2,6,6,2,6,7,Slow,Neglect
16,9,2,2,2,4,5,2,4,10,4,9,10,1,10,6,5,2,5,10,6,2,2,10,3,5,6,6,8,1,3,4,8,9,8,Slow,Neglect
17,10,5,4,6,9,2,8,8,1,3,3,5,10,7,8,10,9,1,7,8,3,1,7,5,2,2,3,2,6,8,9,6,5,9,Slow,Neglect
18,2,6,1,1,6,1,6,6,7,1,1,2,2,1,3,9,6,6,6,4,1,10,4,9,6,4,4,7,4,2,10,1,10,1,Slow,Neglect
19,8,10,6,6,2,1,4,10,8,5,4,8,8,9,1,3,10,9,3,7,6,3,6,2,1,3,5,3,7,7,5,7,7,3,Slow,Neglect
20,9,8,8,8,4,4,3,3,3,2,7,3,6,2,5,1,5,4,2,3,7,7,10,10,10,5,4,5,3,9,3,10,1,4,Slow,Neglect
21,6,7,2,3,6,10,5,4,2,9,8,6,9,5,4,8,3,9,5,1,9,5,8,1,4,1,5,1,4,10,8,5,2,10,Slow,Neglect
22,3,3,7,10,9,7,9,8,4,10,5,9,4,7,7,6,7,5,1,5,5,6,1,3,9,8,10,10,6,5,6,2,6,8,Slow,Neglect
23,4,9,10,5,8,6,1,6,6,9,2,3,7,4,9,4,8,1,6,3,10,3,2,6,1,2,10,8,10,3,2,4,5,9,Slow,Neglect
24,1,4,3,2,1,2,8,5,5,7,3,1,5,8,3,3,1,8,10,2,6,9,5,7,10,5,10,9,3,9,1,6,3,5,Slow,Neglect
25,8,2,5,7,5,3,7,1,8,10,9,10,1,3,2,7,3,10,7,6,1,10,9,10,2,9,1,4,9,1,4,1,9,2,Slow,Neglect
26,5,5,1,1,7,8,3,2,1,6,4,7,9,10,10,10,5,2,8,10,2,2,3,5,5,3,5,6,8,8,9,8,4,3,Slow,Neglect
27,9,1,8,5,3,4,10,10,9,2,1,8,3,4,7,2,4,7,5,9,8,6,7,9,3,10,4,5,2,3,8,9,10,4,Slow,Neglect
28,3,8,4,7,10,9,5,9,4,5,7,5,10,1,6,3,2,4,4,7,10,8,10,4,6,8,9,7,5,2,4,1,1,5,Slow,Neglect
29,10,7,5,2,2,10,4,6,3,3,9,4,6,2,3,5,10,3,1,8,7,4,4,1,7,6,6,3,1,6,5,6,7,1,Slow,Neglect
30,2,2,1,9,8,6,9,4,6,9,10,9,2,7,1,7,9,8,10,4,5,1,5,6,8,1,7,4,6,10,10,1,9,2,Slow,Neglect
31,8,4,6,3,5,5,2,8,10,5,3,6,4,5,10,6,6,1,8,8,6,3,7,8,10,4,4,9,3,4,3,10,1,4,Slow,Neglect
32,4,10,9,10,10,1,8,5,2,6,8,10,1,6,3,1,8,6,2,4,3,5,6,2,7,7,8,6,2,9,2,2,5,3,Slow,Neglect
33,9,2,8,6,9,7,3,2,7,1,2,3,7,9,7,4,3,5,3,9,4,8,1,9,2,3,2,1,7,3,6,5,1,7,Slow,Neglect
34,1,3,2,4,2,5,6,1,5,3,10,1,9,4,5,9,10,10,9,10,2,7,3,3,5,8,2,10,5,5,7,7,3,8,Slow,Neglect
35,7,6,4,5,6,6,1,7,9,9,4,5,5,8,9,3,2,4,6,3,8,2,2,10,1,5,3,2,10,8,1,8,2,6,Slow,Neglect
36,10,8,10,1,3,9,2,3,3,6,8,7,10,2,6,10,4,9,7,1,10,10,8,1,4,4,3,8,9,2,5,3,10,9,Slow,Neglect
37,2,7,3,2,1,4,5,6,4,8,3,2,8,3,6,1,1,8,3,5,3,8,9,5,6,7,9,9,2,7,9,3,8,10,Slow,Neglect
38,6,4,8,10,7,10,8,10,10,3,5,9,2,7,4,3,7,2,2,6,5,9,1,7,9,2,5,3,4,1,5,4,5,5,Slow,Neglect
39,7,5,5,7,4,2,3,9,3,9,1,6,6,10,2,2,9,5,4,2,1,3,5,3,8,10,1,5,6,6,2,1,4,2,Slow,Neglect
40,1,10,4,6,6,6,9,1,8,10,6,10,1,6,2,8,10,1,10,7,2,4,2,8,3,9,6,10,3,10,3,2,2,3,Slow,Neglect
41,9,3,6,8,4,3,8,8,9,7,7,4,9,8,1,4,1,4,1,3,4,1,7,1,5,5,7,6,1,5,10,7,3,1,Slow,Neglect
42,3,2,9,3,1,8,1,4,7,2,3,5,3,1,3,5,5,10,6,10,8,7,9,4,9,4,1,4,2,6,7,3,6,7,Slow,Neglect
43,4,8,2,4,10,3,7,3,6,8,8,8,5,5,8,9,4,3,8,9,4,10,8,10,4,7,2,3,9,1,5,10,9,5,Slow,Neglect
44,1,4,4,1,8,9,10,7,2,5,10,9,2,3,10,7,8,6,4,6,10,6,4,8,2,2,7,8,7,10,1,9,4,9,Slow,Neglect
45,5,7,1,7,3,10,5,2,1,3,2,7,7,7,5,6,2,7,5,2,9,2,6,2,10,2,9,6,5,8,9,8,1,2,Slow,Neglect
46,8,9,7,4,7,3,4,5,4,1,5,2,10,9,5,10,6,2,9,4,6,4,10,7,8,9,5,1,6,5,4,2,8,6,Slow,Neglect
47,6,1,10,9,9,1,8,2,5,3,3,5,4,2,7,1,3,9,3,1,7,5,3,9,7,5,4,8,1,2,6,6,10,3,Slow,Neglect
48,3,4,3,2,2,4,6,8,9,6,6,1,9,4,2,3,4,4,6,8,2,10,9,3,3,8,6,10,10,3,8,2,3,1,Slow,Neglect
49,10,2,5,3,5,5,1,4,5,5,9,4,8,5,1,8,9,1,2,7,8,9,7,6,1,1,3,5,2,9,2,3,6,10,Slow,Neglect
50,2,6,6,10,6,6,1,10,3,10,1,6,7,8,1,6,10,5,5,1,1,4,2,1,6,4,5,4,4,8,7,5,5,3,Slow,Neglect
51,8,5,1,6,9,5,9,1,2,9,4,2,10,1,3,7,1,7,9,2,10,6,4,8,9,3,5,6,5,3,3,5,2,6,Slow,Neglect
52,7,3,8,7,1,7,5,9,6,10,8,10,1,7,7,9,3,10,1,5,5,7,3,2,7,10,1,2,3,10,8,1,5,5,Slow,Neglect
53,4,9,9,1,4,3,3,8,10,8,4,7,5,10,6,2,2,3,3,9,6,1,1,10,1,7,9,8,6,1,10,7,8,8,Slow,Neglect
54,8,7,2,7,7,3,7,2,8,1,7,3,2,9,4,3,7,6,10,6,2,3,10,6,4,10,10,3,4,5,9,1,7,7,Slow,Neglect
55,6,10,5,3,3,9,6,6,3,5,2,8,9,3,5,7,8,1,7,7,3,10,8,8,6,2,7,7,8,8,5,8,9,5,Slow,Neglect
56,1,6,9,8,5,6,2,3,2,2,10,6,3,5,7,10,1,5,6,8,1,2,2,3,8,6,3,9,9,7,1,10,3,10,Slow,Neglect
57,9,1,10,10,8,10,7,4,6,3,8,9,6,4,4,1,9,4,2,4,7,8,6,1,7,5,8,5,3,2,4,4,5,1,Slow,Neglect
58,10,3,7,2,10,1,3,10,5,8,3,2,4,6,5,4,6,10,5,3,9,7,7,9,10,7,4,4,1,6,3,1,7,4,Slow,Neglect
59,5,9,1,5,2,8,4,3,7,7,6,5,1,2,3,5,4,2,9,1,5,1,3,4,3,2,2,9,6,4,6,6,4,2,Slow,Neglect
60,2,8,5,4,1,1,2,7,10,2,2,1,5,1,2,8,3,6,1,6,10,5,10,10,5,1,6,10,7,5,2,6,1,4,Slow,Neglect
61,7,7,2,9,6,7,9,2,8,6,9,3,10,9,9,9,10,7,3,6,10,6,8,5,7,8,9,3,2,9,4,9,7,8,Slow,Neglect
62,3,3,7,1,9,2,1,4,1,10,1,4,7,8,1,5,2,3,8,10,1,3,9,1,1,9,10,7,4,4,10,2,10,9,Slow,Neglect
63,9,5,4,8,4,4,4,1,4,1,3,9,9,4,6,3,5,9,5,9,7,9,2,6,10,3,4,5,5,1,6,4,3,8,Slow,Neglect
64,8,4,1,5,2,5,10,5,9,3,6,1,2,10,3,4,4,4,4,2,6,2,1,3,6,7,1,6,9,6,8,8,6,10,Slow,Neglect
65,5,10,9,9,7,1,7,8,2,2,7,10,3,7,2,1,6,1,2,3,3,10,5,7,4,6,3,1,10,10,5,7,4,7,Slow,Neglect
66,3,6,3,2,5,3,5,10,5,6,5,3,6,5,7,2,8,8,9,5,2,4,6,2,8,3,7,8,3,5,1,5,2,2,Slow,Neglect
67,4,3,2,4,3,7,3,3,3,5,10,7,1,6,6,9,7,10,10,8,4,9,8,6,9,10,8,3,4,2,3,2,9,4,Slow,Neglect
68,8,1,8,6,8,2,2,4,7,9,4,9,2,8,5,8,10,5,3,1,8,8,4,1,10,5,5,2,1,8,6,3,3,3,Slow,Neglect
69,6,8,10,3,10,5,9,7,10,4,8,5,7,3,10,7,9,3,6,4,9,6,7,8,5,4,6,10,6,3,4,2,10,5,Slow,Neglect
70,2,2,4,5,9,6,4,1,9,8,3,3,10,1,4,10,3,2,8,8,2,10,2,9,3,10,2,9,8,7,3,7,9,3,Slow,Neglect
71,9,7,5,1,4,10,5,6,1,7,1,2,4,10,1,6,1,9,1,1,1,1,9,4,2,2,10,3,7,5,9,10,6,1,Slow,Neglect
72,7,5,6,6,2,9,9,2,6,1,5,7,8,2,5,3,6,6,2,10,5,3,1,6,9,1,9,5,5,9,5,1,4,4,Slow,Neglect
73,5,4,2,1,6,4,10,9,5,3,2,8,6,4,7,4,4,7,9,3,3,7,10,10,1,9,5,7,3,4,7,6,2,5,Slow,Neglect
74,10,9,9,7,8,5,6,5,3,8,6,4,2,7,2,5,5,10,5,5,10,5,3,3,5,6,6,8,4,10,10,2,7,3,Slow,Neglect
75,4,7,5,9,1,2,2,8,8,10,7,6,5,8,1,1,1,2,6,2,4,4,7,9,4,4,1,9,2,2,8,3,5,9,Slow,Neglect
76,1,3,7,2,5,3,1,4,4,2,9,1,9,4,3,2,3,5,4,6,6,10,5,1,3,7,8,2,1,8,1,6,8,6,Slow,Neglect
77,2,2,1,4,7,9,3,7,6,1,4,10,1,10,10,7,2,8,7,8,5,9,8,5,6,2,4,1,3,1,5,4,10,7,Slow,Neglect
78,8,5,6,5,3,8,8,5,7,10,1,2,6,3,8,8,10,4,10,4,3,6,1,6,8,10,3,4,6,6,6,6,1,6,Slow,Neglect
79,3,1,10,1,10,10,5,6,1,6,10,9,10,2,4,9,8,1,6,6,1,1,2,2,10,3,2,5,5,5,4,7,2,10,Slow,Neglect
80,9,2,8,10,5,7,9,3,9,4,8,5,2,9,2,6,9,9,8,7,2,2,9,10,7,5,6,10,4,3,5,2,4,2,Slow,Neglect
81,7,8,3,7,2,1,6,10,3,5,3,9,8,5,6,10,4,7,4,10,10,7,6,5,3,1,7,6,9,7,9,1,3,1,Slow,Neglect
82,5,6,7,3,8,4,10,8,10,9,7,6,3,6,9,2,7,10,2,2,7,3,10,1,8,6,5,9,6,2,1,10,9,6,Slow,Neglect
83,1,5,2,5,6,8,8,9,5,3,1,2,5,1,9,4,10,3,1,4,9,5,5,6,10,7,4,6,2,8,2,2,8,5,Slow,Neglect
84,4,10,5,8,9,6,7,1,2,8,6,10,1,4,1,5,1,4,5,8,5,8,7,3,5,2,5,2,8,1,7,7,4,8,Slow,Neglect
85,6,3,9,9,1,2,3,3,8,10,9,1,9,8,5,6,3,2,6,5,2,2,2,7,4,8,6,3,10,4,3,8,6,7,Slow,Neglect
86,2,4,6,2,4,3,6,6,7,6,4,4,4,7,6,1,9,1,9,1,4,9,4,2,6,7,10,4,4,9,10,9,9,10,Slow,Neglect
87,10,3,1,6,7,7,3,10,2,3,7,6,10,5,10,8,2,8,7,6,3,1,1,4,9,3,1,9,1,10,7,4,10,2,Slow,Neglect
88,7,5,2,1,3,3,1,4,1,5,10,9,6,9,2,9,5,6,4,4,6,10,10,10,5,10,3,10,3,6,5,1,4,4,Slow,Neglect
89,3,2,7,6,10,1,2,9,10,1,2,8,2,3,3,7,9,2,10,3,1,5,8,6,2,5,8,4,5,2,3,3,2,2,Slow,Neglect
90,8,6,9,10,7,10,6,7,6,8,3,5,7,10,6,6,6,10,5,7,10,9,9,1,6,1,4,1,2,7,2,6,6,1,Slow,Neglect
91,9,8,2,3,4,2,8,1,9,1,7,4,5,8,9,10,2,6,3,9,9,6,5,5,1,4,7,7,7,3,8,5,10,5,Slow,Neglect
92,4,7,10,7,1,5,3,2,3,9,5,10,1,1,7,5,10,8,2,3,7,8,3,6,8,1,9,8,6,5,5,4,8,3,Slow,Neglect
93,2,9,5,2,9,6,10,6,5,5,9,6,9,5,2,4,8,5,8,6,3,2,1,8,7,9,6,6,3,9,9,2,3,4,Slow,Neglect
94,5,3,6,4,3,6,9,5,1,10,3,1,3,6,3,8,1,4,9,8,4,4,4,2,5,7,2,3,4,2,6,3,5,8,Slow,Neglect
95,6,1,1,5,6,5,4,4,4,3,8,3,4,2,8,2,5,9,5,1,2,1,6,10,2,3,10,2,9,3,1,4,7,9,Slow,Neglect
96,9,4,8,7,10,4,8,8,6,4,10,7,10,8,6,1,7,1,10,10,5,6,9,3,4,5,3,4,5,7,3,8,2,5,Slow,Neglect
97,1,8,3,6,5,8,1,6,1,2,4,4,7,6,1,3,9,7,3,2,8,7,8,4,3,6,8,8,10,5,10,6,5,6,Slow,Neglect
98,4,2,7,1,8,10,5,9,8,7,3,9,1,4,10,6,2,3,2,9,10,3,10,1,9,9,7,5,1,6,2,10,4,2,Slow,Neglect
99,3,10,5,5,2,2,3,2,9,5,1,6,5,9,6,9,6,5,9,5,7,10,5,6,10,2,4,1,6,4,8,1,10,1,Slow,Neglect
100,8,5,4,4,4,3,7,10,2,1,8,10,3,5,3,10,3,9,6,3,1,2,3,7,4,3,9,10,2,1,5,9,5,9,Slow,Neglect
1,9,1,5,1,5,10,9,3,3,5,3,6,7,1,3,3,3,3,2,1,8,3,1,1,1,6,3,3,4,3,6,2,3,3,Fast,Neglect
2,7,4,8,8,3,1,8,7,6,7,6,9,10,5,2,6,5,7,5,4,9,5,3,7,8,4,8,7,7,9,3,8,6,2,Fast,Neglect
3,2,8,2,5,8,3,1,8,1,2,7,10,1,3,10,7,9,10,10,8,2,2,7,3,2,1,9,5,6,5,1,3,10,5,Fast,Neglect
4,4,6,3,6,10,5,4,10,2,3,2,3,3,4,5,8,1,2,1,5,5,9,8,10,6,5,10,9,9,2,5,1,8,6,Fast,Neglect
5,8,3,1,9,6,1,5,4,10,10,10,1,2,10,6,10,4,1,3,3,1,7,9,5,4,8,1,8,5,6,2,7,1,9,Fast,Neglect
6,6,7,4,10,1,2,10,5,8,1,5,4,6,7,4,1,8,4,7,2,4,10,2,2,7,10,7,1,10,1,9,5,2,1,Fast,Neglect
7,3,5,9,2,4,6,2,2,9,5,1,7,8,2,2,2,6,9,9,10,3,1,10,8,3,2,2,4,3,4,8,4,5,10,Fast,Neglect
8,10,10,4,4,9,7,7,6,4,4,4,8,4,6,10,6,2,6,8,9,10,8,4,6,10,7,3,10,1,7,10,1,7,9,Fast,Neglect
9,1,9,10,3,2,3,4,1,3,9,2,2,1,8,9,9,7,5,6,6,7,6,5,4,5,3,5,2,8,10,7,4,6,2,Fast,Neglect
10,5,2,7,1,7,9,5,8,5,2,8,5,5,1,7,8,10,8,4,7,6,2,3,9,9,8,6,6,9,5,8,9,4,3,Fast,Neglect
11,2,7,2,6,5,5,6,4,6,7,6,6,3,9,2,7,3,4,2,8,1,4,7,2,2,1,4,5,6,8,4,2,10,4,Fast,Neglect
12,9,9,4,9,1,10,2,9,9,8,9,7,9,6,6,2,5,5,5,9,5,7,6,7,10,3,5,9,2,5,5,8,3,1,Fast,Neglect
13,6,8,1,10,9,2,3,7,2,1,10,2,7,4,1,4,2,8,1,3,6,1,1,1,7,10,1,10,8,1,9,2,1,7,Fast,Neglect
14,2,3,5,2,6,8,10,10,4,4,3,1,10,5,3,3,9,7,10,4,3,3,2,5,4,9,2,1,10,3,6,7,9,6,Fast,Neglect
15,4,1,10,4,8,9,8,2,1,2,7,10,4,2,7,1,8,1,9,1,2,5,10,8,6,6,7,4,1,6,1,10,7,8,Fast,Neglect
16,8,5,8,7,10,1,3,8,8,8,5,8,2,9,5,10,1,3,3,10,9,2,4,3,1,5,8,3,5,2,10,3,8,2,Fast,Neglect
17,5,3,9,8,4,3,9,5,5,10,1,9,3,3,2,2,6,6,7,2,4,10,5,6,3,7,6,5,4,4,3,4,4,3,Fast,Neglect
18,7,6,3,3,2,4,5,1,10,6,4,2,9,10,10,9,10,10,4,7,10,7,8,9,8,2,4,6,2,10,8,8,10,5,Fast,Neglect
19,2,7,7,1,7,4,5,3,7,2,8,4,7,4,7,7,4,7,2,6,5,8,9,2,5,4,10,7,7,9,2,6,2,9,Fast,Neglect
20,10,8,5,5,3,9,1,9,3,5,9,6,5,6,6,5,2,9,1,5,7,5,6,7,9,10,9,8,9,7,5,5,3,8,Fast,Neglect
21,1,4,10,2,10,5,2,7,6,9,6,10,1,8,8,6,7,3,10,10,8,1,1,1,4,8,10,1,3,5,9,3,7,10,Fast,Neglect
22,3,2,6,7,5,10,7,6,1,1,5,1,6,7,9,3,9,2,9,4,6,3,3,4,7,5,1,10,4,8,1,2,8,9,Fast,Neglect
23,7,1,2,8,8,8,2,2,7,3,10,3,4,2,1,4,8,6,6,5,1,8,10,6,8,1,5,2,10,1,8,9,6,6,Fast,Neglect
24,4,5,1,4,1,3,4,4,10,2,2,4,2,5,3,8,1,8,5,2,3,2,2,3,2,3,2,9,5,10,3,1,5,2,Fast,Neglect
25,6,2,4,3,3,1,10,3,9,7,8,9,5,1,2,7,3,1,4,1,2,10,5,5,1,4,9,4,1,2,7,2,10,1,Fast,Neglect
26,2,8,8,10,7,6,8,1,2,8,3,6,10,3,4,2,9,4,2,3,9,9,9,9,6,9,8,5,2,4,9,3,8,5,Fast,Neglect
27,9,7,7,9,10,9,1,10,5,4,1,2,9,9,6,4,10,3,10,8,4,5,7,10,3,6,4,8,6,6,3,8,1,3,Fast,Neglect
28,7,3,4,6,9,10,3,8,4,9,7,3,3,1,5,5,2,6,9,6,10,1,2,3,10,8,7,7,9,3,2,2,4,2,Fast,Neglect
29,1,5,6,1,6,6,1,6,6,10,6,7,7,10,10,1,5,5,1,7,5,6,4,8,9,1,2,10,3,8,4,4,2,1,Fast,Neglect
30,3,2,10,7,4,1,2,9,8,1,3,2,4,7,10,10,4,9,3,3,8,2,6,10,5,5,6,1,7,7,8,6,7,8,Fast,Neglect
31,4,10,9,8,2,2,9,7,10,3,9,9,1,4,8,9,1,1,7,1,7,8,5,7,3,4,5,2,8,3,6,7,10,7,Fast,Neglect
32,8,8,3,5,4,5,4,3,2,2,8,4,3,6,1,8,8,2,8,8,2,7,10,1,6,10,2,9,4,5,9,8,8,6,Fast,Neglect
